fips,party,data
9003,REPUBLICAN,159024
9005,DEMOCRAT,50164
9005,GREEN,485
9005,LIBERTARIAN,1280
9005,OTHER,14
9005,REPUBLICAN,55601
9007,DEMOCRAT,56848
9007,GREEN,444
9007,LIBERTARIAN,1210
9007,OTHER,31
9007,REPUBLICAN,40665
9009,DEMOCRAT,242630
9009,GREEN,1693
9009,LIBERTARIAN,3661
9009,OTHER,106
9009,REPUBLICAN,169893
9011,DEMOCRAT,79459
9011,GREEN,757
9011,LIBERTARIAN,2256
9011,OTHER,22
9011,REPUBLICAN,57110
9013,DEMOCRAT,44151
9013,GREEN,398
9013,LIBERTARIAN,1277
9013,OTHER,50
9013,REPUBLICAN,34838
9015,DEMOCRAT,26706
9015,GREEN,307
9015,LIBERTARIAN,914
9015,OTHER,14
9015,REPUBLICAN,29141
10001,DEMOCRAT,44552
10001,GREEN,420
10001,LIBERTARIAN,1044
10001,REPUBLICAN,41009
10003,DEMOCRAT,195034
10003,GREEN,1282
