year,state,county_name,county_fips,candidate,party,candidatevotes,totalvotes,mode
2016,ALABAMA,WALKER,1127,HILLARY CLINTON,DEMOCRAT,4497,29472,TOTAL
2016,ALABAMA,WALKER,1127,DONALD TRUMP,REPUBLICAN,24266,29472,TOTAL
2016,ALABAMA,WALKER,1127,OTHER,OTHER,709,29472,TOTAL
2016,ALABAMA,WASHINGTON,1129,HILLARY CLINTON,DEMOCRAT,2374,8533,TOTAL
2016,ALABAMA,WASHINGTON,1129,DONALD TRUMP,REPUBLICAN,6042,8533,TOTAL
2016,ALABAMA,WASHINGTON,1129,OTHER,OTHER,117,8533,TOTAL
2016,ALABAMA,WILCOX,1131,HILLARY CLINTON,DEMOCRAT,4339,6118,TOTAL
2016,ALABAMA,WILCOX,1131,DONALD TRUMP,REPUBLICAN,1737,6118,TOTAL
2016,ALABAMA,WILCOX,1131,OTHER,OTHER,42,6118,TOTAL
2016,ALABAMA,WINSTON,1133,HILLARY CLINTON,DEMOCRAT,872,10313,TOTAL
2016,ALABAMA,WINSTON,1133,DONALD TRUMP,REPUBLICAN,9228,10313,TOTAL
2016,ALABAMA,WINSTON,1133,OTHER,OTHER,213,10313,TOTAL
2016,ARIZONA,APACHE,4001,HILLARY CLINTON,DEMOCRAT,17083,27661,TOTAL
2016,ARIZONA,APACHE,4001,DONALD TRUMP,REPUBLICAN,8240,27661,TOTAL
2016,ARIZONA,APACHE,4001,OTHER,OTHER,2338,27661,TOTAL
2016,ARIZONA,COCHISE,4003,HILLARY CLINTON,DEMOCRAT,17450,50015,TOTAL
2016,ARIZONA,COCHISE,4003,DONALD TRUMP,REPUBLICAN,28092,50015,TOTAL
2016,ARIZONA,COCHISE,4003,OTHER,OTHER,4473,50015,TOTAL
2016,ARIZONA,COCONINO,4005,HILLARY CLINTON,DEMOCRAT,32404,59784,TOTAL
2016,ARIZONA,COCONINO,4005,DONALD TRUMP,REPUBLICAN,21108,59784,TOTAL
2016,ARIZONA,COCONINO,4005,OTHER,OTHER,6272,59784,TOTAL
2016,ARIZONA,GILA,4007,HILLARY CLINTON,DEMOCRAT,7003,36697,TOTAL
2016,ARIZONA,GILA,4007,DONALD TRUMP,REPUBLICAN,14182,36697,TOTAL
2016,ARIZONA,GILA,4007,OTHER,OTHER,1127,36697,TOTAL
2016,ARIZONA,GRAHAM,4009,HILLARY CLINTON,DEMOCRAT,3301,20306,TOTAL
2016,ARIZONA,GRAHAM,4009,DONALD TRUMP,REPUBLICAN,8025,20306,TOTAL
2016,ARIZONA,GRAHAM,4009,OTHER,OTHER,808,20306,TOTAL
2016,ARIZONA,GREENLEE,4011,HILLARY CLINTON,DEMOCRAT,1092,5192,TOTAL
2016,ARIZONA,GREENLEE,4011,DONALD TRUMP,REPUBLICAN,1892,5192,TOTAL
2016,ARIZONA,GREENLEE,4011,OTHER,OTHER,286,5192,TOTAL
2016,ARIZONA,LA PAZ,4012,HILLARY CLINTON,DEMOCRAT,1575,5951,TOTAL
2016,ARIZONA,LA PAZ,4012,DONALD TRUMP,REPUBLICAN,4003,5951,TOTAL
2016,ARIZONA,LA PAZ,4012,OTHER,OTHER,373,5951,TOTAL
2016,ARIZONA,MARICOPA,4013,HILLARY CLINTON,DEMOCRAT,702907,1567834,TOTAL
